5000 100000
1 50 7543
50 1859 7544
1859 4330 7545
4330 853 7546
853 2953 7547
2953 2043 7548
2043 4183 7549
4183 2136 7550
2136 4362 7551
4362 4869 7552
4869 4498 7553
4498 1019 7554
1019 3653 7555
3653 1359 7556
1359 1596 7557
1596 3669 7558
3669 3527 7559
3527 2616 7560
2616 373 7561
373 2145 7562
2145 4151 7563
4151 4783 7564
4783 2606 7565
2606 935 7566
935 251 7567
251 4476 7568
4476 2998 7569
2998 2273 7570
2273 2809 7571
2809 1317 7572
1317 3142 7573
3142 2887 7574
2887 1182 7575
1182 4923 7576
4923 3476 7577
3476 3779 7578
3779 4370 7579
4370 3338 7580
3338 1756 7581
1756 302 7582
302 2226 7583
2226 3517 7584
3517 2458 7585
2458 2017 7586
2017 629 7587
629 775 7588
775 193 7589
193 397 7590
397 3176 7591
3176 722 7592
722 287 7593
287 4860 7594
4860 4018 7595
4018 2700 7596
2700 2983 7597
2983 485 7598
485 4728 7599
4728 3166 7600
3166 4701 7601
4701 2316 7602
2316 3738 7603
3738 1196 7604
1196 3902 7605
3902 3783 7606
3783 516 7607
516 287 7608
287 173 7609
173 2330 7610
2330 270 7611
270 286 7612
286 2783 7613
2783 3116 7614
3116 3381 7615
3381 3608 7616
3608 2072 7617
2072 880 7618
880 2776 7619
2776 3299 7620
3299 3980 7621
3980 2477 7622
2477 1203 7623
1203 897 7624
897 1263 7625
1263 254 7626
254 2175 7627
2175 1990 7628
1990 869 7629
869 3875 7630
3875 1760 7631
1760 995 7632
995 1155 7633
1155 2238 7634
2238 1094 7635
1094 54 7636
54 4868 7637
4868 279 7638
279 4237 7639
4237 832 7640
832 2301 7641
2301 4321 7642
4321 3149 7643
3149 2869 7644
2869 784 7645
784 1626 7646
1626 698 7647
698 3175 7648
3175 4229 7649
4229 2191 7650
2191 1901 7651
1901 2716 7652
2716 773 7653
773 2382 7654
2382 1513 7655
1513 1156 7656
1156 2142 7657
2142 4866 7658
4866 2775 7659
2775 996 7660
996 290 7661
290 3570 7662
3570 3722 7663
3722 1701 7664
1701 2991 7665
2991 3978 7666
3978 1644 7667
1644 4901 7668
4901 2608 7669
2608 4360 7670
4360 7 7671
7 2644 7672
2644 1410 7673
1410 3232 7674
3232 1485 7675
1485 3465 7676
3465 2560 7677
2560 97 7678
97 4897 7679
4897 2859 7680
2859 568 7681
568 4662 7682
4662 3772 7683
3772 4185 7684
4185 1524 7685
1524 2582 7686
2582 2833 7687
2833 3490 7688
3490 562 7689
562 3933 7690
3933 392 7691
392 1141 7692
1141 1332 7693
1332 1785 7694
1785 615 7695
615 2827 7696
2827 1841 7697
1841 3877 7698
3877 1556 7699
1556 3200 7700
3200 818 7701
818 3449 7702
3449 4052 7703
4052 4446 7704
4446 262 7705
262 4872 7706
4872 2640 7707
2640 825 7708
825 3750 7709
3750 3344 7710
3344 2323 7711
2323 107 7712
107 2497 7713
2497 4974 7714
4974 4669 7715
4669 4490 7716
4490 3330 7717
3330 4591 7718
4591 2403 7719
2403 958 7720
958 1133 7721
1133 1512 7722
1512 2492 7723
2492 1956 7724
1956 2846 7725
2846 664 7726
664 2397 7727
2397 4085 7728
4085 3393 7729
3393 3401 7730
3401 4958 7731
4958 2695 7732
2695 483 7733
483 1162 7734
1162 1060 7735
1060 3843 7736
3843 1640 7737
1640 2999 7738
2999 3317 7739
3317 3461 7740
3461 4338 7741
4338 1063 7742
1063 4030 7743
4030 4552 7744
4552 697 7745
697 2565 7746
2565 992 7747
992 895 7748
895 4381 7749
4381 3209 7750
3209 615 7751
615 3533 7752
3533 3446 7753
3446 1004 7754
1004 2 7755
2 118 7756
118 2269 7757
2269 3751 7758
3751 374 7759
374 4884 7760
4884 1600 7761
1600 3228 7762
3228 4891 7763
4891 1459 7764
1459 3722 7765
3722 883 7766
883 3805 7767
3805 1684 7768
1684 2456 7769
2456 2959 7770
2959 2924 7771
2924 4758 7772
4758 2285 7773
2285 399 7774
399 652 7775
652 1064 7776
1064 399 7777
399 2741 7778
2741 3062 7779
3062 369 7780
369 8 7781
8 1690 7782
1690 3966 7783
3966 537 7784
537 1413 7785
1413 3312 7786
3312 811 7787
811 1997 7788
1997 979 7789
979 415 7790
415 1889 7791
1889 198 7792
198 4213 7793
4213 817 7794
817 2346 7795
2346 2114 7796
2114 4271 7797
4271 117 7798
117 2561 7799
2561 2178 7800
2178 3582 7801
3582 495 7802
495 3286 7803
3286 1451 7804
1451 2326 7805
2326 3983 7806
3983 4109 7807
4109 1429 7808
1429 4067 7809
4067 2998 7810
2998 3166 7811
3166 2023 7812
2023 680 7813
680 4612 7814
4612 3926 7815
3926 1281 7816
1281 1883 7817
1883 4869 7818
4869 4717 7819
4717 3848 7820
3848 1214 7821
1214 1590 7822
1590 3807 7823
3807 4517 7824
4517 4112 7825
4112 2237 7826
2237 1875 7827
1875 1142 7828
1142 762 7829
762 1271 7830
1271 1671 7831
1671 812 7832
812 3323 7833
3323 3384 7834
3384 1545 7835
1545 4460 7836
4460 4397 7837
4397 3622 7838
3622 391 7839
391 4326 7840
4326 3789 7841
3789 2686 7842
2686 1585 7843
1585 2905 7844
2905 2422 7845
2422 4846 7846
4846 3633 7847
3633 821 7848
821 4703 7849
4703 3417 7850
3417 4698 7851
4698 4415 7852
4415 2288 7853
2288 3319 7854
3319 2262 7855
2262 89 7856
89 25 7857
25 1426 7858
1426 3135 7859
3135 1271 7860
1271 1956 7861
1956 4321 7862
4321 671 7863
671 3730 7864
3730 2214 7865
2214 2112 7866
2112 3719 7867
3719 1225 7868
1225 3874 7869
3874 1143 7870
1143 4996 7871
4996 76 7872
76 4814 7873
4814 2671 7874
2671 3765 7875
3765 2927 7876
2927 451 7877
451 2152 7878
2152 71 7879
71 2549 7880
2549 1561 7881
1561 3550 7882
3550 4641 7883
4641 2082 7884
2082 153 7885
153 4039 7886
4039 1896 7887
1896 2408 7888
2408 4689 7889
4689 622 7890
622 3860 7891
3860 3691 7892
3691 4836 7893
4836 1324 7894
1324 3073 7895
3073 1541 7896
1541 3703 7897
3703 2377 7898
2377 647 7899
647 3099 7900
3099 4765 7901
4765 4031 7902
4031 4395 7903
4395 2717 7904
2717 1540 7905
1540 2344 7906
2344 740 7907
740 2474 7908
2474 2894 7909
2894 3763 7910
3763 542 7911
542 3610 7912
3610 2057 7913
2057 3915 7914
3915 938 7915
938 522 7916
522 1927 7917
1927 4151 7918
4151 1636 7919
1636 2036 7920
2036 3607 7921
3607 492 7922
492 796 7923
796 660 7924
660 4258 7925
4258 3470 7926
3470 678 7927
678 1196 7928
1196 4815 7929
4815 3667 7930
3667 4434 7931
4434 3425 7932
3425 1535 7933
1535 1856 7934
1856 4812 7935
4812 1811 7936
1811 4233 7937
4233 4201 7938
4201 4341 7939
4341 2825 7940
2825 4472 7941
4472 598 7942
598 2496 7943
2496 2427 7944
2427 32 7945
32 2264 7946
2264 4614 7947
4614 1062 7948
1062 1876 7949
1876 3368 7950
3368 2739 7951
2739 1804 7952
1804 979 7953
979 2241 7954
2241 982 7955
982 3305 7956
3305 3366 7957
3366 1057 7958
1057 3629 7959
3629 4167 7960
4167 4228 7961
4228 2092 7962
2092 1111 7963
1111 667 7964
667 3423 7965
3423 1609 7966
1609 4560 7967
4560 3541 7968
3541 2893 7969
2893 1219 7970
1219 112 7971
112 4756 7972
4756 3815 7973
3815 1553 7974
1553 348 7975
348 272 7976
272 3909 7977
3909 1382 7978
1382 964 7979
964 4054 7980
4054 2231 7981
2231 1561 7982
1561 1563 7983
1563 704 7984
704 2990 7985
2990 3222 7986
3222 3843 7987
3843 3906 7988
3906 3737 7989
3737 3060 7990
3060 3310 7991
3310 1926 7992
1926 3808 7993
3808 2550 7994
2550 3222 7995
3222 345 7996
345 1205 7997
1205 1218 7998
1218 1389 7999
1389 3668 8000
3668 2974 8001
2974 1484 8002
1484 1118 8003
1118 1611 8004
1611 341 8005
341 3852 8006
3852 762 8007
762 3177 8008
3177 920 8009
920 2452 8010
2452 524 8011
524 1315 8012
1315 1113 8013
1113 379 8014
379 662 8015
662 4136 8016
4136 830 8017
830 2364 8018
2364 2529 8019
2529 4440 8020
4440 4122 8021
4122 136 8022
136 2609 8023
2609 4474 8024
4474 1867 8025
1867 1104 8026
1104 3887 8027
3887 1747 8028
1747 2402 8029
2402 1540 8030
1540 4773 8031
4773 2582 8032
2582 3926 8033
