25000 100000
1 21879 69930
21879 13980 69931
13980 2470 69932
2470 23393 69933
23393 20465 69934
20465 20218 69935
20218 13457 69936
13457 22432 69937
22432 8320 69938
8320 22591 69939
22591 3591 69940
3591 17759 69941
17759 2401 69942
2401 7647 69943
7647 23720 69944
23720 19524 69945
19524 10759 69946
10759 19266 69947
19266 15400 69948
15400 9712 69949
9712 18815 69950
18815 13377 69951
13377 2712 69952
2712 6640 69953
6640 7885 69954
7885 20836 69955
20836 2595 69956
2595 9501 69957
9501 21342 69958
21342 24006 69959
24006 15794 69960
15794 1572 69961
1572 15596 69962
15596 20775 69963
20775 6121 69964
6121 21423 69965
21423 16629 69966
16629 18593 69967
18593 3951 69968
3951 5651 69969
5651 476 69970
476 20972 69971
20972 16194 69972
16194 11472 69973
11472 13103 69974
13103 19659 69975
19659 10657 69976
10657 4468 69977
4468 4967 69978
4967 6573 69979
6573 18792 69980
18792 19040 69981
19040 15443 69982
15443 868 69983
868 5767 69984
5767 14721 69985
14721 16797 69986
16797 13961 69987
13961 2995 69988
2995 8472 69989
8472 19635 69990
19635 22478 69991
22478 7460 69992
7460 731 69993
731 20671 69994
20671 24994 69995
24994 14165 69996
14165 14090 69997
14090 13112 69998
13112 2537 69999
2537 19032 70000
19032 16290 70001
16290 5495 70002
5495 17778 70003
17778 11711 70004
11711 19366 70005
19366 2939 70006
2939 327 70007
327 7916 70008
7916 21697 70009
21697 9773 70010
9773 24320 70011
24320 18506 70012
18506 5069 70013
5069 17957 70014
17957 456 70015
456 24201 70016
24201 3711 70017
3711 18291 70018
18291 10951 70019
10951 7134 70020
7134 8832 70021
8832 13038 70022
13038 2398 70023
2398 3576 70024
3576 7565 70025
7565 10753 70026
10753 20438 70027
20438 13229 70028
13229 3488 70029
3488 18489 70030
18489 14001 70031
14001 923 70032
923 19222 70033
19222 23352 70034
23352 2159 70035
2159 24655 70036
24655 8071 70037
8071 22797 70038
22797 15035 70039
15035 22785 70040
22785 2737 70041
2737 7330 70042
7330 17276 70043
17276 13550 70044
13550 13549 70045
13549 19821 70046
19821 24853 70047
24853 13693 70048
13693 1193 70049
1193 3479 70050
3479 3364 70051
3364 19667 70052
19667 724 70053
724 5544 70054
5544 23318 70055
23318 5551 70056
5551 18340 70057
18340 8049 70058
8049 9378 70059
9378 4502 70060
4502 5899 70061
5899 23688 70062
23688 16082 70063
16082 14984 70064
14984 13990 70065
13990 12432 70066
12432 213 70067
213 14201 70068
14201 4213 70069
4213 1742 70070
1742 8328 70071
8328 17993 70072
17993 11966 70073
11966 15797 70074
15797 2664 70075
2664 16220 70076
16220 13707 70077
13707 3507 70078
3507 21841 70079
21841 16667 70080
16667 6183 70081
6183 18490 70082
18490 14610 70083
14610 12906 70084
12906 11724 70085
11724 3960 70086
3960 11903 70087
11903 7536 70088
7536 8408 70089
8408 4439 70090
4439 22062 70091
22062 6874 70092
6874 4723 70093
4723 20454 70094
20454 19570 70095
19570 6111 70096
6111 11770 70097
11770 13166 70098
13166 4700 70099
4700 17725 70100
17725 15544 70101
15544 11965 70102
11965 11596 70103
11596 12003 70104
12003 15256 70105
15256 1222 70106
1222 3820 70107
3820 16605 70108
16605 11164 70109
11164 13672 70110
13672 5390 70111
5390 16508 70112
16508 12721 70113
12721 8115 70114
8115 23393 70115
23393 1019 70116
1019 5368 70117
5368 19158 70118
19158 11728 70119
11728 9843 70120
9843 8583 70121
8583 15467 70122
15467 20218 70123
20218 14399 70124
14399 4382 70125
4382 4729 70126
4729 13507 70127
13507 15641 70128
15641 3163 70129
3163 1513 70130
1513 11562 70131
11562 19748 70132
19748 14462 70133
14462 4322 70134
4322 1681 70135
1681 18751 70136
18751 1317 70137
1317 17758 70138
17758 11801 70139
11801 15152 70140
15152 18041 70141
18041 8362 70142
8362 6483 70143
6483 14183 70144
14183 17352 70145
17352 14258 70146
14258 2255 70147
2255 12879 70148
12879 11577 70149
11577 9338 70150
9338 18249 70151
18249 18512 70152
18512 1843 70153
1843 8942 70154
8942 7023 70155
7023 6000 70156
6000 20654 70157
20654 6395 70158
6395 13172 70159
13172 245 70160
245 10752 70161
10752 11580 70162
11580 9145 70163
